Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2024-08-15,205.02,215.88,204.82,214.14,214.14,89848530,0.0000,1.0
2024-08-16,211.15,219.8,210.8,216.12,216.12,88765122,0.0000,1.0
2024-08-19,217.07,222.98,214.09,222.72,222.72,76435222,0.0000,1.0
2024-08-20,224.88,228.22,219.56,221.1,221.1,74001182,0.0000,1.0
2024-08-21,222.67,224.6594,218.86,223.27,223.27,70145964,0.0000,1.0
2024-08-22,223.82,224.8,210.32,210.66,210.66,79514482,0.0000,1.0
2024-08-23,214.455,221.48,214.21,220.32,220.32,81525207,0.0000,1.0
2024-08-26,218.75,219.09,211.01,213.21,213.21,59301187,0.0000,1.0
2024-08-27,213.25,215.66,206.94,209.21,209.21,62821390,0.0000,1.0
2024-08-28,209.72,211.84,202.59,205.75,205.75,64116350,0.0000,1.0
2024-08-29,209.8,214.89,205.97,206.28,206.28,62308818,0.0000,1.0
2024-08-30,208.63,214.5701,207.03,214.11,214.11,63370608,0.0000,1.0
2024-09-03,215.26,219.9043,209.64,210.6,210.6,76714222,0.0000,1.0
2024-09-04,210.59,222.22,210.57,219.41,219.41,80217329,0.0000,1.0
2024-09-05,223.49,235.0,222.25,230.17,230.17,119355013,0.0000,1.0
2024-09-06,232.6,233.6,210.51,210.73,210.73,112177004,0.0000,1.0
2024-09-09,216.2,219.87,213.67,216.27,216.27,67443518,0.0000,1.0
2024-09-10,220.07,226.4,218.6377,226.17,226.17,78891136,0.0000,1.0
2024-09-11,224.55,228.47,216.8003,228.13,228.13,83548633,0.0000,1.0
2024-09-12,224.66,231.45,223.83,229.81,229.81,72020042,0.0000,1.0
2024-09-13,228.0,232.67,226.32,230.29,230.29,59515114,0.0000,1.0
2024-09-16,229.3,229.96,223.53,226.78,226.78,54322995,0.0000,1.0
2024-09-17,229.45,234.57,226.5533,227.87,227.87,66761636,0.0000,1.0
2024-09-18,230.09,235.68,226.88,227.2,227.2,78010204,0.0000,1.0
2024-09-19,234.0,244.24,232.13,243.92,243.92,102694576,0.0000,1.0
2024-09-20,241.52,243.99,235.92,238.25,238.25,99879070,0.0000,1.0
2024-09-23,242.61,250.0,241.92,250.0,250.0,86927194,0.0000,1.0
2024-09-24,254.08,257.19,249.0501,254.27,254.27,88490999,0.0000,1.0
2024-09-25,252.54,257.05,252.28,257.02,257.02,65034318,0.0000,1.0
2024-09-26,260.6,261.75,251.53,254.22,254.22,67142193,0.0000,1.0
2024-09-27,257.375,260.6999,254.12,260.46,260.46,70988067,0.0000,1.0
2024-09-30,259.04,264.86,255.77,261.63,261.63,80873381,0.0000,1.0
2024-10-01,262.67,263.98,248.53,258.02,258.02,87397613,0.0000,1.0
2024-10-02,247.55,251.1585,241.5,249.02,249.02,93983930,0.0000,1.0
2024-10-03,244.48,249.79,237.81,240.66,240.66,80729240,0.0000,1.0
2024-10-04,246.69,250.96,244.58,250.08,250.08,86726285,0.0000,1.0
2024-10-07,249.0,249.83,240.7,240.83,240.83,68113270,0.0000,1.0
2024-10-08,243.56,246.21,240.56,244.5,244.5,56303160,0.0000,1.0
2024-10-09,243.82,247.43,239.51,241.05,241.05,66289529,0.0000,1.0
2024-10-10,241.81,242.7899,232.34,238.77,238.77,83087063,0.0000,1.0
2024-10-11,220.13,223.34,214.38,217.8,217.8,142628874,0.0000,1.0
2024-10-14,220.13,221.91,213.74,219.16,219.16,86291923,0.0000,1.0
2024-10-15,220.01,224.26,217.12,219.57,219.57,62988787,0.0000,1.0
2024-10-16,221.4,222.8199,218.93,221.33,221.33,49632824,0.0000,1.0
2024-10-17,221.59,222.08,217.9,220.89,220.89,50791784,0.0000,1.0
2024-10-18,220.71,222.28,219.23,220.7,220.7,49611867,0.0000,1.0
2024-10-21,218.9,220.48,215.726,218.85,218.85,47328988,0.0000,1.0
2024-10-22,217.31,218.22,215.26,217.97,217.97,43268741,0.0000,1.0
2024-10-23,217.125,218.72,212.11,213.65,213.65,80938892,0.0000,1.0
2024-10-24,244.68,262.1199,242.65,260.48,260.48,204491903,0.0000,1.0
2024-10-25,256.01,269.49,255.32,269.19,269.19,161611931,0.0000,1.0
2024-10-28,270.0,273.536,262.24,262.51,262.51,107653603,0.0000,1.0
2024-10-29,264.51,264.98,255.51,259.52,259.52,80521751,0.0000,1.0
2024-10-30,258.035,263.35,255.8201,257.55,257.55,53993576,0.0000,1.0
2024-10-31,257.99,259.75,249.25,249.85,249.85,66575292,0.0000,1.0
2024-11-01,252.043,254.0,246.63,248.98,248.98,57544757,0.0000,1.0
2024-11-04,244.56,248.9,238.88,242.84,242.84,68802354,0.0000,1.0
2024-11-05,247.34,255.2799,246.2101,251.44,251.44,69282505,0.0000,1.0
2024-11-06,284.67,289.59,275.62,288.53,288.53,165228710,0.0000,1.0
2024-11-07,288.89,299.75,285.52,296.91,296.91,117309232,0.0000,1.0
2024-11-08,299.14,328.71,297.66,321.22,321.22,204782763,0.0000,1.0
2024-11-11,346.3,358.64,336.0,350.0,350.0,210521625,0.0000,1.0
2024-11-12,342.74,345.84,323.31,328.49,328.49,155726016,0.0000,1.0
2024-11-13,335.85,344.5999,322.5,330.24,330.24,125405599,0.0000,1.0
2024-11-14,327.69,329.98,310.37,311.18,311.18,120726109,0.0000,1.0
2024-11-15,310.57,324.6799,309.22,320.72,320.72,114440286,0.0000,1.0
2024-11-18,340.73,348.5499,330.01,338.74,338.74,126547455,0.0000,1.0
2024-11-19,335.76,347.3799,332.75,346.0,346.0,88852452,0.0000,1.0
2024-11-20,345.0,346.5999,334.3,342.03,342.03,66340650,0.0000,1.0
2024-11-21,343.81,347.9899,335.28,339.64,339.64,58011719,0.0000,1.0
2024-11-22,341.085,361.53,337.7,352.56,352.56,89140722,0.0000,1.0
2024-11-25,360.14,361.93,338.2,338.59,338.59,95890899,0.0000,1.0
2024-11-26,341.0,346.96,335.66,338.23,338.23,62295857,0.0000,1.0
2024-11-27,341.8,342.55,326.59,332.89,332.89,57896439,0.0000,1.0
